,varname,q_no,question_eng,var_categories_georgian
0,_v2,Q1.1,how old are you?,"25-34 years old, 18-24 years old, 65 and over, 55-64 years old, 35-44 years old, 45-54 years old"
1,_v3,Q1.2,Sex,"Male, female, nan"
2,_v4,Q1.3,What is your current relationship?,"Unmarried, currently registered in marriage, I have a partner, but we do not live together, widowed, divorced or divorced, currently in an unregistered marriage, e.g., I live with a partner, Refused, Unregistered marriage"
3,_v5,Q1.4,Did you have any romance?,"No, nan, yes, no answer"
4,_v6,Q1.5,Have you ever lived with a partner?,"nan, no, yes"
5,_v7,Q1.6,Name your education,"Secondary education (grades 10-12), higher education, secondary technical education, basic education (7-9 grades), incomplete higher education, I have not received formal education, but I know primary education (grades 1-6), nan"
6,_v8,Q1.7,Which ethnic group do you belong to?,"Georgian, Azerbaijani, Armenian, Kurdish, no answer, Assyrian, Yazidi, Russian, other Caucasian ethnic group (Abkhazian, Lek, Ossetian, Greek"
7,_v9,Q1.7,Which ethnic group do you belong to?,"Georgian, Azerbaijani, Armenian, other, nan"
8,_v10,Q1.8,What is your religion?,"Orthodox Christian, Islam, nan, Non-believer (atheist / agnostic), Gregorian, Protestant, Jehovah's Witness, Sun worshiper, 50s, Catholic"
9,_v11,Q1.9,Does he live beside you or not?,"Yes, no"
10,_v13,Q1.10.,Who lives with you nations �,"Parents, your children, nan, other relatives-adults, other relatives-children, other non-relatives adults"
11,_v14,Q1.10.,Who lives with you nations �,"nan, your children, other relatives-adults, parents, other relatives-children, other non-relatives adults"
12,_v15,Q1.10.,Who lives with you nations �,"nan, other relatives - children, parents, other relatives - adults, your children, other unrelated adults, other unrelated children"
13,_v16,Q1.10.,Who lives with you nations �,"nan, other relatives-adults, other relatives-children, other non-relatives adults, other non-relatives children"
14,_v17,Q1.10.,Who lives with you nations �,"nan, other relatives-adults"
15,_v18,Q1.11,Who provides the income,"Parent, you and your partner / spouse are almost equal, men, pension / state aid (social), all together, wife, me, child and mother pension, other relatives, social assistance, child, self and parent, children / daughter-in-law / son-in-law, Children and me, no answer, bebia, children and pension, deida, gzavnili, other, though not specified, brother / sister, soflis meurneobidan, sister equally, pension and other, family business"
16,_v19,Q1.11,Who provides the income,"Parent, you and your partner / spouse almost equally, yourself, pension, all together, partner / spouse, me, child and mother pension, other relatives, social assistance, child, self and parent, state aid (social), children, daughter-in-law / Son-in-law, children and me, parents' pension, spouse's parents, refusal to answer, child and daughter-in-law, gardacvlili shvilis saxelmwifo pensia, bebia, children and pension, deida, gzavnili, other, but not specified soflis meurneobidan, spouse message, parents abroad, children, grandchildren, sister together, pension, etc., family business"
17,_v20,Q1.12,How much is your (personal) kov,"I have no personal income, more than 1000 GEL, 101-300 GEL, 501-700 GEL, I do not have a stable income, 701-1000 GEL, 301-500 GEL, refuse to answer, less than 100 GEL"
18,_v21,Q1.13,Your family's current m�,"For food, for everyday clothes and fe, we buy food with difficulty, we have enough money for food, but uh, I do not know, we can buy everything at any time, Refuse to answer"
19,_v22,Q1.14,What is your employment �,"I am unemployed, I am a student, I am officially employed / qualified, I am retired, I am unofficially employed / unskilled, I have never worked, I study and work, I refuse to answer, I am on maternity leave or other"
20,_v23,Q1.15,In which sector do you work?,"nan, in the private sector, in the public sector, self-employed - non-farming, self-employed - farming, refuse to answer, international organization, non-governmental sector, caregiver"
21,_v24,Q1.15,In which sector do you work?,"nan, in the private sector, in the public sector, self-employed - non-farming, self-employed - farming, no response, international organization, non-governmental sector"
22,_v25,Q1.16,I am satisfied with my present �,"nan, Agree, Disagree, Refuse to answer, Strongly Agree, Strongly Disagree"
23,_v26,Q1.17,My current salary is �,"nan, Agree, Strongly Disagree, Disagree, Strongly Agree, Refuse to answer"
24,_v27,Q1.18,My family helps me with the door �,"nan, Agree, Refuse to answer, Strongly Agree, Disagree, Strongly Disagree"
25,_v28,Q1.19,My wife helps me,"nan, I agree, not relevant, Refuse to answer, Strongly agree, Strongly disagree, Disagree"
26,_v29,Q1.20,I'm often stressed / depressed,"Disagree, Agree, Strongly Disagree, Not Relevant, Strongly Agree, Refuse to Answer"
27,_v30,Q1.21,"In my opinion, it is difficult to find a family","Not relevant, Agree, Disagree, Strongly Disagree, Refuse to answer, Strongly Agree"
28,_v31,Q1.22,"In my opinion, it is difficult for children","Not relevant, Disagree, Agree, Strongly Disagree, Refuse to answer, Strongly Agree"
29,_v32,Q2.1,The main duty of a woman is Oja,"Disagree, agree, totally agree, totally disagree, refuse to answer"
30,_v33,Q2.2,It is the duty of the mother for the child,"Disagree, agree, totally agree, totally disagree, refuse to answer"
31,_v34,Q2.3,The final word in the family trans,"Agree, totally agree, disagree, totally disagree, refuse to answer"
32,_v35,Q2.4,A woman must endure violence,"Refuse to answer, totally disagree, disagree, agree, totally agree"
33,_v36,Q2.5,Women should be able to have a boyfriend,"Disagree, totally disagree, agree, refuse to answer, totally agree"
34,_v37,Q2.6,Men should be able to be friends,"Agree, disagree, totally disagree, totally agree, refuse to answer"
35,_v38,Q2.7,Men are always ready for sex,"Agree, disagree, refuse to answer, totally agree, totally disagree"
36,_v39,Q2.8,Never put a good woman,"Agree, disagree, totally agree, totally disagree, refuse to answer"
37,_v40,Q2.9,"Women have the opportunity, d�","Refuse to answer, agree, totally agree, disagree, totally disagree"
38,_v41,Q2.10,Men in the Georgian society,"Agree, totally agree, refuse to answer, disagree, totally disagree"
39,_v42,Q2.11,"A man needs other women, i","Disagree, totally agree, agree, totally disagree, refuse to answer"
40,_v43,Q2.12,There are situations when ka,"Agree, totally disagree, disagree, totally agree, refuse to answer"
41,_v44,Q2.13,A woman is responsible for that,"Agree, disagree, totally disagree, refuse to answer, totally agree"
42,_v45,Q2.14,The man must be involved in the same way,"Agree, disagree, totally agree, totally disagree, refuse to answer"
43,_v46,Q2.15,It is basically a man's duty,"Disagree, agree, totally agree, totally disagree, refuse to answer"
44,_v47,Q2.16,Women who accompany Preser�,"Agree, disagree, totally agree, refuse to answer, totally disagree"
45,_v48,Q2.17,I will never have Homo �,"Agree, disagree, totally agree, refuse to answer, totally disagree"
46,_v49,Q2.18,Homosexual men / women,"Agree, disagree, refuse to answer, totally disagree, totally agree"
47,_v50,Q2.19,It's very awkward for me there,"Agree, disagree, totally agree, totally disagree, refuse to answer"
48,_v51,Q2.20,It is unacceptable for a woman to have a husband,"Disagree, totally disagree, agree, totally agree, refuse to answer"
49,_v52,Q2.21,A man and a woman should go together,"Agree, disagree, totally agree, refuse to answer, totally disagree"
50,_v53,Q2.22,Violence between husband and wife,"Disagree, agree, totally agree, totally disagree, refuse to answer"
51,_v54,Q2.23,A woman should not tell her husband u,"Agree, disagree, refuse to answer, totally agree, totally disagree"
52,_v55,Q2.24,After the needs of the family,"Agree, totally agree, disagree, totally disagree, refuse to answer"
53,_v56,Q2.25,A woman is more appreciated by her �,"Agree, disagree, totally agree, totally disagree, refuse to answer"
54,_v57,Q2.26,The most important role,"Agree, totally agree, disagree, totally disagree, refuse to answer"
55,_v58,Q2.27,"If the wife has a job, the husband","Agree, totally agree, disagree, totally disagree, refuse to answer"
56,_v59,Q2.28,"If the husband works, the wife does not, Ts","Agree, disagree, totally agree, totally disagree, refuse to answer"
57,_v60,Q2.29,With a preschooler,"Agree, totally agree, disagree, totally disagree, refuse to answer"
58,_v61,Q2.30,Having a job is the best �,"Agree, disagree, totally agree, totally disagree, refuse to answer"
59,_v62,Q2.31,Loneliness is a bad marriage,"Disagree, agree, totally disagree, totally agree, refuse to answer"
60,_v63,Q2.32,I could never do it alone,"Disagree, agree, totally disagree, totally agree, refuse to answer"
61,_v64,Q2.33,"It would be awkward for me, �","Disagree, agree, totally disagree, refuse to answer, totally agree"
62,_v65,Q2.34,"When a woman is raped, �","Disagree, refuse to answer, totally disagree, agree, totally agree"
63,_v66,Q2.35,In some cases women are sin�,"Agree, refuse to answer, disagree, totally agree, totally disagree"
64,_v67,Q2.36,If the woman is not physically advanced,"Agree, disagree, refuse to answer, totally disagree, totally agree"
65,_v68,Q2.37,In any case heard,"Agree, totally agree, disagree, totally disagree, refuse to answer"
66,_v69,Q2.38,If a woman is mentally handicapped,"Disagree, totally disagree, refuse to answer, agree, totally agree"
67,_v70,Q2.39,Gender equality is rooted,"Agree, totally agree, disagree, totally disagree, refuse to answer"
68,_v71,Q2.40,"Activities, Gend. Equal","Agree, disagree, refuse to answer, totally agree, totally disagree"
69,_v72,Q2.41,"When women work, it �","Disagree, agree, refuse to answer, totally disagree, totally agree"
70,_v73,Q2.42,When women receive the right �,"Disagree, agree, totally disagree, totally agree, refuse to answer"
71,_v74,Q3.1,Men are better political l,"Strongly agree, agree, refuse to answer, disagree, strongly disagree"
72,_v75,Q3.2,A woman with the same qualification as Ro�,"Strongly agree, agree, disagree, strongly disagree, refuse to answer"
73,_v76,Q3.3,"Compared to women, m","Strongly agree, disagree, refuse to answer, agree, totally disagree"
74,_v77,Q3.4,Involve more women in Georgia,"Agree, disagree, totally agree, refuse to answer, totally disagree"
75,_v78,Q3.5,Politics is more suited to men,"Agree, disagree, totally agree, totally disagree, refuse to answer"
76,_v79,Q3.6.,Who do you represent as President?,"Male, both equally / without distinction, Refusal to answer, Female"
77,_v80,Q3.7.,"In general, who is a better leader?","Both alike / without distinction, male, female, refuse to answer"
78,_v81,Q3.8.,"In Georgia, for a man more","For both equally / without distinction, for man, for woman, refuse to answer"
79,_v82,Q3.9.,It is easier for a man,"For both equally / without distinction, for man, for woman, refuse to answer"
80,_v83,Q3.10,It is easier for men,"For a woman, for both equally / without distinction, for a man, refuse to answer"
81,_v84,Q3.11,How did you feel?,"More or less comfortable, completely comfortable, more or less uncomfortable, completely uncomfortable, Refuse to answer"
82,_v85,Q3.12,How did you feel?,"More or less comfortable, completely comfortable, more or less uncomfortable, refuse to answer, completely uncomfortable"
83,_v86,Q4.1,I had a hard time with family responsibilities,"nan, once or twice, never difficult, several times a month, refuse to answer, several times a week"
84,_v87,Q4.2,I had a hard time concentrating on work,"nan, once or twice, never difficult, several times a month, refuse to answer, several times a week"
85,_v88,Q4.3,Have you ever had a party?,"I have never had a partner / spouse, I currently have a partner / spouse, I have only had a partner / spouse, I am a widow, Refuse to answer"
86,_v89,Q4.3.1.,How many years ago he died,"nan, 9, 10, 14, 40, 15, 1, 8, 18, 24, 65, 4, 49, 45, 68, 7, 20, 2, 30, 29, 12, 11, 34, 28, 22, 23, 13, 38, 5, 16, 25, 3, 32, 19, Refuse to answer, 6, 26, 21, 64, 17, 56, 62, 42, 37, 35, 44"
87,_v90,Q4.3.2.,How old are you now,"nan, 22, 31, 68, 30, 69, 55, 38, 49, 36, 62, 37, 39, 51, 63, 58, 33, 57, 34, 56, 42, Refused, 43, 64, 60 , 53, 81, 40, 50, 46, 70, 26, 71, 54, 41, 48, 32, 61, 65, 29, 27, 52, 66, 72, 24, 28, 35, 45, 73, 47 , 87, 25, 19, 44, 20, 80, 59, 67, 75, 74, 82, 88, 85, 78, 23, 21, 84, 79, 76, 77"
88,_v91,Q4.4,Do you have a partner?,"nan, None, Physical, Cognitive, Refused, Arthritis, Blurred vision, Stroke, Sensory, No specification, Mental, Alcoholic, No spouse, Acquired hearing loss, Diabetes"
89,_v92,Q4.5,Which has a higher academy,"nan, we have the same level of education, I have a higher level of education, he has a higher level of education, refuse to answer, I do not know"
90,_v93,Q4.6,Which had a higher income,"nan, I have a higher income, only I have an income, we have an equal income, it does not correspond to the refusal to answer, my partner / spouse has a higher income, only my partner / spouse has an income, I do not know"
91,_v94,Q4.7,Necessary household goods,"nan, you and your partner / spouse together, you, your partner / spouse, someone else (specify), refuse to answer, you and someone else jointly (specify"
92,_v95,Q4.7.1,Specify with whom �,"nan, parents, children, ertad ar vcxovrobt, mother-in-law, daughter-in-law, mother and sister-in-law"
93,_v96,Q4.8,Spend money on large investments,"nan, you and your partner / spouse together, you, your partner / spouse, someone else (specify), refuse to answer, you and someone else jointly (specify"
94,_v97,Q4.8.1,Specify with whom �,"nan, child, parents, child and grandchild, mother-in-law, daughter-in-law and child, children, mother-in-law mule, relatives, wife, parents, me and children"
95,_v98,Q4.9,Laundry / laundry,"nan, female, share equally or do together, 4, male, refuse to answer"
96,_v99,Q4.10,Home repair,"nan, male, female, share equally or do together, refuse to answer"
97,_v100,Q4.11,Buy food,"nan, share equally or do together, male, female, 4, refuse to answer"
98,_v101,Q4.12,House cleaning,"nan, female, share equally or do together, 4, male, refuse to answer"
99,_v102,Q4.13,Bathroom / toilet cleaner �,"nan, female, share equally or do together, 4, male, refuse to answer"
100,_v103,Q4.14,cooking,"nan, female, male, share equally or do together, 4, Refuse to answer"
101,_v104,Q4.15,Payment of bills,"nan, male, share equally or do together, female, refuse to answer"
102,_v105,Q4.16,Child / child care,"nan, share equally or do together, female, male, refuse to answer"
103,_v106,Q4.9,Laundry / laundry,"nan, always your partner / spouse, usually your partner / spouse, equally share or do together, usually you, always you, refuse to answer"
104,_v107,Q4.10,Home repair,"nan, usually you, always you, always your partner / spouse, usually your partner / spouse, share equally or do together, Refuse to answer"
105,_v108,Q4.11,Buy food,"nan, share equally or do together, usually you, usually your partner / spouse, always your partner / spouse, always you, Refuse to answer"
106,_v109,Q4.12,House cleaning,"nan, usually your partner / spouse, always your partner / spouse, share equally or do together, usually you, always you, refuse to answer"
107,_v110,Q4.13,Bathroom / toilet cleaner �,"nan, always your partner / spouse, usually your partner / spouse, equally share or do together, usually you, always you, refuse to answer"
108,_v111,Q4.14,cooking,"nan, always your partner / spouse, usually your partner / spouse, usually you, share equally or do together, always you, refuse to answer"
109,_v112,Q4.15,Payment of bills,"nan, usually you, equally share or do together, usually your partner / spouse, always your partner / spouse, always you, Refuse to answer"
110,_v113,Q4.16,Child / child care,"nan, share equally or do together, always your partner / spouse, usually your partner / spouse, usually you, always you, refuse to answer"
111,_v114,Q4.17,What do you think about the case in general �,"nan, partner / spouse does a lot more, refuse to answer, partner / spouse does a little more, I do a little more, I do a lot more"
112,_v115,Q4.18,How satisfied are you?,"nan, satisfied, very satisfied, refuse to answer, dissatisfied, very dissatisfied"
113,_v116,Q4.19,How satisfied are you,"nan, satisfied, refuse to answer, very satisfied, dissatisfied, very dissatisfied"
114,_v117,Q4.20,When to talk to a partner,"nan, this week, longer, or never, one or two weeks ago, 2-4 weeks ago, no answer, more than 4 weeks, but less than 6 weeks"
115,_v118,Q5.1,With a partner / spouse (now,"nan, rarely, sometimes, never, refuse to answer, often"
116,_v119,Q5.2,How often will you be banned �,"nan, never, once, several times, refuse to answer, many times"
117,_v120,Q5.2,How often will you be banned �,"nan, never, once, several times, refuse to answer, many times"
118,_v121,Q5.2.1,"If this ever happened to you, yes","nan, no, yes, no answer"
119,_v122,Q5.3,You have been deprived of a partner�,"nan, several times, never, refuse to answer, once, many times"
120,_v123,Q5.3.1,"If you have ever been deprived of it, Kh","nan, yes, no, no answer"
