,varname,q_no,question_eng,var_categories_georgian
121,_v124,Q5.4,You are a partner / spouse,"nan, never, refuse to answer, several times, once, many times"
122,_v125,Q5.4.1,"If you have ever heard of it, �","nan, no, no answer, yes"
123,_v126,Q5.5,Transfer part of the money to s,"nan, many times, never, several times, refuse to answer, once"
124,_v127,Q5.5.1,"If you have ever moved, do you?","nan, yes, no, no answer"
125,_v128,Q5.6,You have insulted me,"nan, never, several times, refuse to answer, many times, once"
126,_v129,Q5.6.1,If you have ever used this Sh,"nan, no, no answer, yes"
127,_v130,Q5.7,You did not talk to your wife,"nan, never, several times, refuse to answer, many times, once"
128,_v131,Q5.7.1,If you have ever shot one you owe it to yourself to give it a try,"nan, no, yes, no answer"
129,_v132,Q5.8,You have done such a thing that �,"nan, never, several times, refuse to answer, many times, once"
130,_v133,Q5.8.1,"If this ever bothered you, �","nan, no, yes, no answer"
131,_v134,Q5.9,You have been humiliated or insulted,"nan, never, several times, refuse to answer, once, many times"
132,_v135,Q5.9.1,"If this has ever happened to you,","nan, no, no answer, yes"
133,_v136,Q5.10,You are threatening your partner / me,"nan, never, once, refuse to answer, several times, many times"
134,_v137,Q5.10.1,"If you have ever done this, �","nan, no, no answer, yes"
135,_v138,Q5.11,You met Sila with a partner,"nan, never, refuse to answer, several times, once, many times"
136,_v139,Q5.11.1,If it ever threatened you,"nan, no, no answer, yes"
137,_v140,Q5.12,"You shake hands, I go to the corner","nan, never, refuse to answer, once, several times, many times"
138,_v141,Q5.12.1,"If this ever catches your hand, Kh","nan, no, no answer, yes"
139,_v142,Q5.13,You will be beaten for a partner /,"nan, never, refuse to answer, once, several times, many times"
140,_v143,Q5.13.1,"If this ever strikes you, yes","nan, no, no answer, yes"
141,_v144,Q5.14,"You kicked, you kicked, Gi","nan, never, refuse to answer, once, several times, many times"
142,_v145,Q5.14.1,"If this ever kicks you in,","nan, no, no answer, yes"
143,_v146,Q5.15,Hold your hand in the feed or ga,"nan, never, refuse to answer, several times, once, many times"
144,_v147,Q5.15.1,If you have ever caught a tree,"nan, no, no answer, yes"
145,_v148,Q5.16,You are threatening your partner / m�,"nan, never, refuse to answer, once, several times, many times"
146,_v149,Q5.16.1,If this ever threatens you,"nan, no, no answer, yes"
147,_v150,Q5.17,You are threatening your son �,"nan, never, refuse to answer, many times, once, several times"
148,_v151,Q5.17.1,If this ever threatens you,"nan, no, no answer, yes"
149,_v152,Q5.18,They have given you the power to partner,"nan, never, refuse to answer, several times, once, many times"
150,_v153,Q5.18.1,If this ever happened to you �,"nan, no, no answer, yes"
151,_v154,Q5.19,They have given you strength for a woman,"nan, never, refuse to answer, several times, many times, once"
152,_v155,Q5.19.1,If this ever happens to you son,"nan, no, no answer, yes"
153,_v156,Q5.20,"Inflicted physical damage, �","nan, never, refuse to answer, once, several times, many times"
154,_v157,Q5.20.1,If you have suffered physical damage,"nan, no, no answer, yes"
155,_v158,Q5.21,Did a bad moment happen �,"nan, no, I do not have children, yes, I do not know / I do not remember"
156,_v159,Q5.22,Do you know anyone personally �,"No, yes, I know 3-5 people, Yes, I know 1-2 people, No answer, Yes, I know 5 or more people"
157,_v160,Q5.23,How ordinary story,"Not so common, quite common, do not know / do not remember, very common, not common at all, refuse to answer"
158,_v161,Q5.24,Do you know women who,"No, yes, I know 3-5 people, Yes, I know 1-2 people, Yes, I know 5 or more people, No answer"
159,_v162,QQ5.25,Is there power in the family,"Yes, I do not know, no"
160,_v163,QQ5.25.1,Is there strength in the family?,"I do not know, yes, no"
161,_v164,QQ5.25.2,Is there strength in the family?,"No, I do not know, yes"
162,_v165,Q5.26,It is acceptable to harm a woman,"Yes, no, refuse to answer"
163,_v166,Q6.1,Whether or not your pa has stopped,"No, no answer, yes, nan"
164,_v167,Q6.2,Have you participated or not,"nan, yes, no, no answer"
165,_v168,Q6.2.1,Financially support the party,"nan, yes, no, no answer"
166,_v169,Q6.3,Accompany your partner / spouse,"nan, yes, no, no answer"
167,_v170,Q6.1,Whether or not your pa has stopped,"No, refuse to answer, yes"
168,_v171,Q6.2,Have you participated or not,"nan, yes, no, no answer"
169,_v172,Q6.2.1,Financially support the party,"nan, yes, no, no answer"
170,_v173,Q6.3,Accompany your partner / spouse,"nan, yes, no, no answer"
171,_v174,Q6.4,Whose decision was Uka,"nan, it was a joint decision, mainly my partner / spouse's decision, someone else's decision, no answer, my partner / spouse's decision and someone else's decision, mostly my decision, my and someone else's decision (specify"
172,_v175,Q6.4.1,Whose decision was behind it,"nan, by the decision of the doctor, his parents, in my time there was no other means, father"
173,_v176,Q7.1,How would you describe your health?,"Good, bad, average, very good, very bad, nan, refuse to answer"
174,_v177,Q7.2,When was the last time you went to the clinic?,"Last 3 months, 2 - 5 years ago, last month, last year, never, more than 5 years ago, no answer, nan"
175,_v178,Q7.3,Things for the last 12 months,"1-3 times a month, several times, never, more rarely than once a month, once or twice a week, swallowing every day, do not drink alcohol, refuse to answer, several times a year"
176,_v179,Q7.4,For the last 12 months,"Yes, no, nan, I do not know, refuse to answer"
177,_v180,Q7.5,Things for the last 12 months,"More rarely than once a month, never used, 1-3 times a month, every day or almost every day, no response, once a week"
178,_v181,Q7.6,When sad / frustrated,"I turn to my friends for help, I turn to my partner / spouse for help, I do not turn to other people for help, I turn to a priest / clergyman for help, I ask my family members / relatives for help, Refuse to answer, social network, nobody, doctor"
179,_v182,Q7.7,Less to do anything in,"Some days, I was not bothered, more than half a day, I do not know, almost every day, refusing to answer"
180,_v183,Q7.8,You can feel depressed,"Did not bother me, more than half a day, some days, almost every day, I do not know, refuses to answer"
181,_v184,Q7.9,I had a case of suicide,"Did not bother me, some days, I do not know, refuses to answer, more than half a day"
182,_v185,Q7.10,Evaluate the impact that,"5, 8, I have a serious influence, 3, 7, 9, I do not know, 6, 2, Refuse to answer, 4, I can not have any influence Saku, nan"
183,_v186,Q8.1,Name your mother,"Secondary education (grades 10-12), higher education, secondary technical education, refusal to answer, basic education (grades 7-9), primary education (grades 1-6), no formal education, but knows incomplete higher education"
184,_v187,Q8.2,Name your father,"Secondary education (grades 10-12), higher education, no answer, secondary technical education, basic education (grades 7-9), primary education (grades 1-6), incomplete higher education, has not received formal education, but knows"
185,_v188,Q8.3,You were a mother in your childhood,"Yes, nan, no, I do not know, refuse to answer"
186,_v189,Q8.4,Was preparing food,"Once a week, rarely, nan, never, almost every day, refuse to answer"
187,_v190,Q8.5,Cleaning the house,"Rarely, never, nan, several times a month, refuse to answer, almost every day, once a week"
188,_v191,Q8.6,Washing clothes,"Never, nan, once a week, rarely, refuse to answer, almost every day"
189,_v192,Q8.7,Cleaning the bathroom or toilet,"Never, nan, rarely, refuse to answer, almost every day, once a week"
190,_v193,Q8.8,Were you or your sister-,"Rarely, almost every day, nan, once a week, never, refuse to answer"
191,_v194,Q8.9,Buying household items,"Rarely, nan, once a week, almost every day, never, refuse to answer"
192,_v195,Q8.10,Participated in family affairs,"Rarely, nan, once a week, never, almost every day, refuse to answer"
193,_v196,Q8.11,To whom did the final word belong?,"Father, both, mother, nan, refuse to answer, mostly other, grandparents, I"
194,_v197,Q8.12,To whom did the final word belong?,"Mostly father, mostly mother, nan, both equally, refusing to answer, mostly someone else"
195,_v198,Q8.13,"Before I turned 18, Min","Never, nan, sometimes, often, refuse to answer, very often"
196,_v199,Q8.14,Before 18 yrs. I would become someone �,"Never, refuse to answer, nan, sometimes, often"
197,_v200,Q8.15,"Before 18 yrs. I would become, Sheura too","Never, refuse to answer, sometimes, nan, often"
198,_v201,Q8.16,"Before I turned 18, Msho","Sometimes, never, often, nan, refuse to answer, very often"
199,_v202,Q8.17,"Before I turned 18, face","Never, refuse to answer, sometimes, nan, often"
200,_v203,Q8.18,"Before I turned 18, Mko","Never, refuse to answer, sometimes, nan"
201,_v204,Q8.19,"Before I turned 18, Mtse","Sometimes, never, never answer, often, very often, nan"
202,_v205,Q8.20,"Before I turned 18, Scotch","Never, sometimes, refuse to answer, nan, often"
203,_v206,Q8.21,"When I was a teenager, M.A.","Sometimes, never, nan, refuse to answer, often, very often"
204,_v207,Q9.1,Do you have a child (ren)?,"No, yes"
205,_v209,Q9.2,Do you have a biological child?,"nan, no, yes, I do not know"
206,_v210,Q9.3,Did you attend?,"nan, no, yes, no answer"
207,_v211,Q9.4,Did you take a vacation or �,"nan, no, yes"
208,_v212,Q9.5,How many days (weeks) did you spend?,"nan, 2, 4, 1, 24, 48, 8, 60, 50, 16, 52, 32, 12, 10, 18, 144, 72, 96, 30, 17, 40, 6, 20, 0, I do not know / I do not remember, 53, 56, 28, 78, 68, 64, 36, 3, 44, 140, 150"
209,_v213,Q9.6,How many days did you get paid?,"nan, 0, 4, 1, 2, 24, 48, 8, 50, 16, 52, 12, 14, 18, 15, 72, I do not know / I do not remember, 35, 26, 28, 60, 30, 40, 56, 32, 36, 3, 6, 44, 8.0, 24.0, 16.0, 12.0, 48.0, 36.0, 32.0, 72.0, 28.0, 6.0, 0.0, 4.0, 2.0"
210,_v214,Q9.6,How many days were the paychecks,"nan, 0., 41.6904866, 44.861993, 41.7958949, 44.8200113, 41.7279693, 44.7885361, 41.6915021, 44.8076304, 41.7116384, 44.7531415, 41.70916, 44.7805229, 41.7298925, 44.7547453, 41.6492125, 44.9109649, 41.9911462, 43.6006756, 41.70782, 44.7812049, 41.7098086, 44.7802546, 41.7198671 , 44.7991741, 42.2579811, 42.6357728, 42.2404206, 42.6798856, 42.2631935, 43.4198417, 42.3285424, 43.4026799, 42.3595501, 43.2721961, does not remember, 41.720306, 44.7470308, 41.7211828, 44.7601979, 41.4968941, 44.1629832, 41.517468, 45.9894151, 41.9087638, 45.4711016, 41.7133072, 45.1654676, 41.7883294, 44.7523892, 41.70919, 44.7806655, 41.5598034, 44.9892316, 42.6589802, 42.0059369, 41.6721068, 44.8765167, 41.640329, 42.9969569, 41.6712482, 44.8762172, 41.8595636, 43.4127349, 24, 41.8038099, 44.8264082, 41.797251, 44.8254191, 12, 36, 44 ., 41.7102014, 44.7832855, 41.9903716, 45.3031663, 42.2099458, 42.7701317, 41.7188625, 44.7783895, 4., 42.3074294, 42.4182182, 42.3040025, 42.4006572"
211,_v215,Q9.7,Do you follow or not and how much �,"nan, all visits, some visits, no visits, one visit, no answer, I did not receive / do not receive antenatal care"
212,_v216,Q9.8,"Where have you been, as usual?","nan, accompanied by a health care provider, sitting in the waiting room, waiting at the entrance or outside, refusing to answer, sakhlshi"
213,_v217,Q9.9,I spend very little time �,"nan, I do not agree, I do not agree at all, I agree, I completely agree"
214,_v218,Q9.10,I would work less if that �,"nan, I do not agree, I do not agree at all, I agree, I completely agree"
215,_v219,Q9.11,Daily care of the child,"nan, usually partner, share equally or do together, always partner, refuse to answer, usually me, always me"
216,_v220,Q9.12,"Stay at home with the child, ro�","nan, share equally or do together, always partner, usually partner, refuse to answer, usually me, always me"
217,_v221,Q9.13,Raise or leave the baby �,"nan, always partner, usually partner, share equally or do together, usually me, no answer, always me"
218,_v222,Q9.14,Play with a child or different,"nan, share equally or do together, always partner, usually partner, refuse to answer, usually me, always me"
219,_v223,Q9.15,Baby diaper or clothes �,"nan, share equally or do together, always partner, usually partner, refuse to answer, usually me, always me"
220,_v224,Q9.16,Baby swim,"nan, share equally or do together, always partner, usually partner, refuse to answer, always me, usually me"
221,_v225,Q9.17,On personal issues with the child �,"nan, always partner, usually partner, share equally or do together, refuse to answer, usually me, always me"
222,_v226,Q9.18,Homework for the child,"nan, always partner, usually partner, refuse to answer, share equally or do together, usually me, always me"
223,_v227,Q9.19,Take the child to the doctor,"nan, share equally or do together, always partner, usually partner, refuse to answer, usually me, always me"
224,_v228,Q9.20,Sleeping baby,"nan, share equally or do together, always partner, usually partner, refuse to answer, usually me, always me"
225,_v229,Q9.21,Daily care of the child,"nan, sometimes, never, often, refuse to answer, very often"
226,_v230,Q9.22,"Stay at home with the child, ro�","nan, sometimes, never, often, refuse to answer, very often"
227,_v231,Q9.23,Raise or leave the baby �,"nan, never, sometimes, often, very often, refuse to answer"
228,_v232,Q9.24,Play with a child or different,"nan, sometimes, never, often, refuse to answer, very often"
229,_v233,Q9.25,Rage for the child (can not,"nan, never, sometimes, refuse to answer, often, very often"
230,_v234,Q9.26,Beating or beating a child,"nan, never, sometimes, often, refuse to answer, very often"
231,_v235,Q9.27,Baby diaper or clothes �,"nan, never, sometimes, refuse to answer, very often, often"
232,_v236,Q9.28,Baby swim,"nan, never, sometimes, refuse to answer, very often, often"
233,_v237,Q9.29,On personal issues with the child �,"nan, never, sometimes, often, refuse to answer, very often"
234,_v238,Q9.30,Homework for the child,"nan, never, too often, sometimes, refuse to answer, often"
235,_v239,Q9.31,"In your opinion, generally acceptable","No, yes, I do not know, refuse to answer"
236,_v240,Q10.1,"Is there a law, Father","I do not know, yes, no"
237,_v241,Q10.2,"Whether the law is necessary, m","No, yes, no answer"
238,_v242,Q10.3,Does Georgia exist?,"Yes, I do not know, no"
239,_v243,Q10.4,Does Georgia exist?,"Yes, I do not know, no"
240,_v244,Q10.5,Whether it comes from the blood,"No, I do not know, yes, nan"
241,_v245,Q10.6,"Do you support quotas, �","No, yes, no answer"
242,_v246,Q10.7,"Do you support the law, m�","No, yes, no answer"
243,_v247,Q10.8,What do you think it means / what,"It is associated with equal rights for men and women, I do not know, it is associated with equal rights in the family, freedom, it is associated with the representation of women's rights, it is associated with less feminine women's activities, it is associated with feminism, it is associated with feminism, refusal, freedom of speech, oppression, Mutual understanding is a disease, love, stability, harmony, interference in family affairs, a normal state"
244,_v248,Q10.9,Parents' house,"Most of the property should be given to the boy, the property should be left entirely to the boy, it should be evenly distributed between the girl and the boy, the property should be left entirely to the girl, most of it should be transferred to the girl, no answer"
245,_v249,Q10.10,Land,"Should be evenly distributed between the girl and the boy, most of the property should be given to the boy, the property should be left entirely to the boy, no answer should be given, most of it should be given to the girl, the property should be left entirely to the girl"
246,_v250,Q10.11,Jewelry,"Should be distributed equally between girl and boy, most of it should be given to girl, property should be left entirely to boy, most should be given to boy, property should be left entirely to girl, refuse to answer"
247,_v251,Q10.12,"Money, car, other movable �","Most of it should be given to the boy, it should be evenly distributed between the girl and the boy, most of it should be given to the girl, the property should be left entirely to the boy, refuse to answer, the property should be left entirely to the girl"
248,_v252,Q10.13,Family business,"Should be evenly distributed between the girl and the boy, most of the property should be given to the boy, the property should be left entirely to the boy, no answer should be given, most of it should be given to the girl, the property should be left entirely to the girl"
249,_v253,Q10.14,Have you ever attended,"Never, sometimes, refuse to answer, often, very often"
250,_v254,Q10.15,Whether to address you publicly,"Never, refuse to answer, sometimes, often, very often, nan"
251,_v255,Q10.16,Will you ask the question Saj,"Never, sometimes, refuse to answer, often, very often, nan"
252,_v256,Q10.17,Have you worked in Adg. Organization,"Never, sometimes, refuse to answer, often, very often, nan"
253,_v257,Q10.18,Have you done any sh,"Never, refuse to answer, sometimes, often, very often"
254,_v258,Q10.19,Have you signed anything,"Never, sometimes, refuse to answer, often, very often"
255,_v259,Q10.20,Express your opinion,"Never, sometimes, often, too often, refuse to answer"
